term,subset,value,odds_ratio,p_value,exact_matches,conceptual_matches,Text 1,Text 2,Text 3,total_matches
like most about working,1Question, Like About Working Here,378.934803593,4.33524834091e-114,405,14791,"What do I like most about working here is my Boss Damir Murati He always keeps my encourage. He treats me like a person and not just a employee. He a great listener, kind hearted, funny and he cares about all of us. Damir is very easy to approach and talk to about anything. I love coming to work everyday. I love working with Damir Murati. He is the reason I Love my job.","I like the fact that we work at the lowest point on earth, and not just somewhere, but in the great HILTON.     My satisfaction comes from the satisfaction of all team members. They are for me more like a friends. This point is one of the things that make me love working at Hilton Dead Sea.     Working at the Dead Sea is usually challenging, at least for me, but I took this opportunity to learn and get the most out of it. I really learned a lot.     Most importantly, I like most about working in Hilton, the opportunity for growth given to TMs for the sake of being engaged and to grow with the business.",The thing that I like most is the since of family in my department. We are all close and care about each other. I love my job and being able to help others to relax and enjoy there time here on the island. I really enjoy working with Becky she has brought back the morale of the employees.,15196
meeting new people,1Question, Like About Working Here,288.442910197,1.2247726846e-86,307,4366,What I like most about working here are my coworkers and the guests. I enjoy meeting new people everyday and making their experiences one to remember. when there are returning guests who remember me its good to know that I made an impact on their stay.,"What I like most about working here is the fact that I can interact with different personalities every day. It's always interesting to meet new people from different places and see that we all just want to have fun. It pleases me when people are excited for their stay and that I play a role in their experience when checking in with us. Not everyone has been to Orlando and its cool to be the one to spread the news of the activites around that'll make their stay in Florida much more fun. And when they recognize me and remember my name, it makes me feel important. I always look forward to coming to work.",What do I like most about working here = For the most part it does feel like a Team or a Family here. Most Team Members I have met are genuinely friendly and helpful. There are some team members and even Managers that seem to practice favoritism and are unapproachable. I strive to make the best experience for myself and my coworkers and for the guests/members on a daily basis because this is the service industry after all.  I enjoy my job currently but also look forward to exploring other opportunities/departments as well to further develop my career.,4673
flexibility of my schedule,1Question, Like About Working Here,82.950902279,7.41995058595e-48,177,15214,"The things that I like most about working for Hilton are the culture, the people, and the collaboration.  The culture is unlike any other company with the flexibility of schedules, WFH, workspace/meeting space, travel benefits with Go Hilton, and much more; and it is the Hilton leaders that make it like this.  Next, the people that I work with are great.  Each individual brings unique characteristics to the table, and you can be yourself which helps to generate collaboration.  I look forward to coming to work everyday because of the people, and I call a number of these colleagues my friends.  The collaborative effort at the office allows us to continue to improve upon our processes and make it better for the future of Hilton.","I like being able to work from home, and I like the flexibility of Build-A-Schedule. Also, I think Hilton is a superior brand, and I like saying that I work for this company. I also enjoy the travel benefits.",The ability to work from home and the flexibility of my schedule.  It's extremely important for me to have the flexibility to work different days and different hours.  Working from home is the biggest perk and most important area for me personally.,15391
feels like a family,1Question, Like About Working Here,49.9590661453,1.25053081128e-41,177,9434,"I love working for Hilton, it's a world class brand. I also really enjoy working with all my managers and co-workers, it's a great collaborative environment!",I am so proud to tell people that I work at the Hotel Del. It is an amazing placewe have great team members that go above and beyond for our guests and I really enjoy working with our new executive teamNick and Harold.,"I enjoy the people I work with, I feel the HRBP's and my HRD delivers on the HILTON values and are true role models which make them enjoyable to work with. I enjoy the ability to manage my own diary (within reason). I feel there could be more scope for improved flexibility and work life balance within HR however, this is sometimes dependant of the GM's and their requests and is not necessarily driven from HRD's. I also enjoy the relationships I have with co-workers. I really enjoy the work I do however, I feel there needs to be a review of the HR structure and the roles the HRM's have inherited. We are reverting back to doing a lot of transactional tasks and not having the ability or the time to influence the hotels through strategic interventions. I feel the initiatives we have in place are fantastic however, there is so much all at once which defers HRM's from being able to focus and deliver on the key HR pillars well! We run very thinly on the ground in the hotels, which generates challenges for HR as there are not many capable leaders or assistant managers who have the time, ability or capability to deliver and support the HR function. This then results in the initiatives not being managed to the best of their ability and not having the best input as there is either too much to do, not enough time, resources or people to provide the best outcomes. Alsoemails NEED to reduce!",9611
flexability,1Question, Like About Working Here,43.3606989186,3.19668910198e-24,93,5804,The ability to work from my own home and the flexibility to schedule my work hours.,Flexibility of work hours. Being able to work from home. Having hours I can accrue for time off or emergency time off.,The flexibility in work hours as well as the ability to work from home.,5897
brand name,1Question, Like About Working Here,28.5143726584,7.4829502012e-30,144,2153,The brand name HILTON and the image it has gained. I like to develop my career in Hilton because its a reputed hospitality industry and one of the talented network worldwide.,"the most I like working here its because the service point its the first higher in Johor Bahru and the salary not bad higher , The brand of the Hilton worldwide makes me feel good, the brand name are strong unless the management coporation not so good. The working time and two days off make me easy to spend time with my family. The hotel located is very convenience center of the city Johor Bahru. I work on my style without anyone disturb. I can finish my work on time and go back on time. the benefit for team member like room relaxing, chair massage , the locker room are good, the chilling together nice decoration, and the food was ok but I heard very worse food for night shift, employer need good and healthy food. Every month have care really its means for staff appreciation. Every month for birthday HR department make small  gift to be collected and its change item its was so good. that all.",because of brand name,2297
never a dull,1Question, Like About Working Here,25.4508450174,2.31190787057e-07,27,4117,"I really enjoy the work I do at Hilton.  I have a great team to work with every day. I come to work happy and I'm always looking forward to help other team members.  I like the challenges we face everyday, in particular, when I am able to solve it rather quickly. I like to promptly respond to my colleagues and make sure they are satisfied with my response. Overall, I am very proud to work for Hilton.",Never a dull moment and its always fun and looking forward to come to work every day.,"Interesting work, challenging, never boring, everyday something new",4144
family atmosphere,1Question, Like About Working Here,25.3161844618,8.68638354305e-45,194,11629,I really enjoy the work family-like work environment and the people I work with.,we have a great team work and also managers are great. but the most that I enjoy is when guess say that they really enjoy how we work as a team and not as a competitors. its a great place for new opportunities.,"I really enjoy the work I do at Hilton.  I have a great team to work with every day. I come to work happy and I'm always looking forward to help other team members.  I like the challenges we face everyday, in particular, when I am able to solve it rather quickly. I like to promptly respond to my colleagues and make sure they are satisfied with my response. Overall, I am very proud to work for Hilton.",11823
friendliness,1Question, Like About Working Here,23.8798052015,1.16332882513e-18,78,1783,"Helpfulness of the staff in all departments, that all the people are taking the job seriously. Team Outing, friendliness of our managers.","I enjoy the atmosphere, getting to meet new people, and the friendliness and camaraderie between my team members and I.","I enjoy the support, the friendliness and sense of camaraderie. Everyone seems to enjoy coming to work and this is obvious and is seen in the way we look after our guests. Our sense of CARE is apparent.",1861
helpfulness,1Question, Like About Working Here,22.6229733488,1.51900463574e-06,24,77,"Helpfulness of the staff in all departments, that all the people are taking the job seriously. Team Outing, friendliness of our managers.",loyalty and helpfulness of staffgood,TEAMWORK AND HELPFULNESS OF STAFF,101
